SUMLEV,STATE,COUNTY,PLACE,NAME,POPULATION,YEAR
157,37,183,1520,Apex town,59945,2020
157,37,183,10740,Cary town (pt.),171662,2020
157,37,183,25300,Fuquay-Varina town (pt.),34571,2020
157,37,183,25480,Garner town,31306,2020
157,37,183,32260,Holly Springs town,41720,2020
157,37,183,36080,Knightdale town,19493,2020
157,37,183,44520,Morrisville town (pt.),29800,2020
157,37,183,55000,Raleigh city (pt.),465874,2020
157,37,183,57640,Rolesville town,9569,2020
157,37,183,70540,Wake Forest town (pt.),46466,2020
157,37,183,71860,Wendell town,9984,2020
157,37,183,76220,Zebulon town (pt.),7063,2020
157,37,183,99990,Balance of Wake County,205270,2020
157,37,183,1520,Apex town,62911,2021
157,37,183,10740,Cary town (pt.),173187,2021
157,37,183,25300,Fuquay-Varina town (pt.),36736,2021
157,37,183,25480,Garner town,31935,2021
157,37,183,32260,Holly Springs town,43524,2021
157,37,183,36080,Knightdale town,19576,2021
157,37,183,44520,Morrisville town (pt.),31063,2021
157,37,183,55000,Raleigh city (pt.),467584,2021
157,37,183,57640,Rolesville town,10047,2021
157,37,183,70540,Wake Forest town (pt.),48054,2021
157,37,183,71860,Wendell town,11570,2021
157,37,183,76220,Zebulon town (pt.),7974,2021
157,37,183,99990,Balance of Wake County,205172,2021
157,37,183,1520,Apex town,37991,2010
157,37,183,10740,Cary town (pt.),135609,2010
157,37,183,25300,Fuquay-Varina town,18225,2010
157,37,183,25480,Garner town,25893,2010
157,37,183,32260,Holly Springs town,24964,2010
157,37,183,36080,Knightdale town,11525,2010
157,37,183,44520,Morrisville town (pt.),18745,2010
157,37,183,55000,Raleigh city (pt.),405257,2010
157,37,183,57640,Rolesville town,3811,2010
157,37,183,70540,Wake Forest town (pt.),29532,2010
157,37,183,71860,Wendell town,5877,2010
157,37,183,76220,Zebulon town (pt.),4477,2010
157,37,183,99990,Balance of Wake County,184832,2010
157,37,183,1520,Apex town,38999,2011
157,37,183,10740,Cary town (pt.),140704,2011
157,37,183,25300,Fuquay-Varina town,19165,2011
157,37,183,25480,Garner town,26347,2011
157,37,183,32260,Holly Springs town,25839,2011
157,37,183,36080,Knightdale town,11995,2011
157,37,183,44520,Morrisville town (pt.),19289,2011
157,37,183,55000,Raleigh city (pt.),412845,2011
157,37,183,57640,Rolesville town,4043,2011
157,37,183,70540,Wake Forest town (pt.),30815,2011
157,37,183,71860,Wendell town,6071,2011
157,37,183,76220,Zebulon town (pt.),4559,2011
157,37,183,99990,Balance of Wake County,187980,2011
157,37,183,1520,Apex town,40659,2012
157,37,183,10740,Cary town (pt.),144630,2012
157,37,183,25300,Fuquay-Varina town,19996,2012
157,37,183,25480,Garner town,26738,2012
157,37,183,32260,Holly Springs town,26934,2012
157,37,183,36080,Knightdale town,12664,2012
157,37,183,44520,Morrisville town (pt.),20161,2012
157,37,183,55000,Raleigh city (pt.),422159,2012
157,37,183,57640,Rolesville town,4265,2012
157,37,183,70540,Wake Forest town (pt.),32108,2012
157,37,183,71860,Wendell town,6141,2012
157,37,183,76220,Zebulon town (pt.),4635,2012
157,37,183,99990,Balance of Wake County,190832,2012
157,37,183,1520,Apex town,42388,2013
157,37,183,10740,Cary town (pt.),149741,2013
157,37,183,25300,Fuquay-Varina town,21296,2013
157,37,183,25480,Garner town,26755,2013
157,37,183,32260,Holly Springs town,28964,2013
157,37,183,36080,Knightdale town,13216,2013
157,37,183,44520,Morrisville town (pt.),21650,2013
157,37,183,55000,Raleigh city (pt.),430211,2013
157,37,183,57640,Rolesville town,4668,2013
157,37,183,70540,Wake Forest town (pt.),33796,2013
157,37,183,71860,Wendell town,6111,2013
157,37,183,76220,Zebulon town (pt.),4622,2013
157,37,183,99990,Balance of Wake County,190641,2013
157,37,183,1520,Apex town,44064,2014
157,37,183,10740,Cary town (pt.),153702,2014
157,37,183,25300,Fuquay-Varina town,22653,2014
157,37,183,25480,Garner town,27734,2014
157,37,183,32260,Holly Springs town,30181,2014
157,37,183,36080,Knightdale town,13797,2014
157,37,183,44520,Morrisville town (pt.),22536,2014
157,37,183,55000,Raleigh city (pt.),438308,2014
157,37,183,57640,Rolesville town,5781,2014
157,37,183,70540,Wake Forest town (pt.),35635,2014
157,37,183,71860,Wendell town,6148,2014
157,37,183,76220,Zebulon town (pt.),4765,2014
157,37,183,99990,Balance of Wake County,192340,2014
157,37,183,1520,Apex town,45652,2015
157,37,183,10740,Cary town (pt.),157861,2015
157,37,183,25300,Fuquay-Varina town,23934,2015
157,37,183,25480,Garner town,27949,2015
157,37,183,32260,Holly Springs town,31369,2015
157,37,183,36080,Knightdale town,14172,2015
157,37,183,44520,Morrisville town (pt.),23923,2015
157,37,183,55000,Raleigh city (pt.),448311,2015
157,37,183,57640,Rolesville town,6281,2015
157,37,183,70540,Wake Forest town (pt.),37084,2015
157,37,183,71860,Wendell town,6243,2015
157,37,183,76220,Zebulon town (pt.),4974,2015
157,37,183,99990,Balance of Wake County,194418,2015
157,37,183,1520,Apex town,47543,2016
157,37,183,10740,Cary town (pt.),160596,2016
157,37,183,25300,Fuquay-Varina town,25895,2016
157,37,183,25480,Garner town,28731,2016
157,37,183,32260,Holly Springs town,33293,2016
157,37,183,36080,Knightdale town,14731,2016
157,37,183,44520,Morrisville town (pt.),24718,2016
157,37,183,55000,Raleigh city (pt.),458236,2016
157,37,183,57640,Rolesville town,6973,2016
157,37,183,70540,Wake Forest town (pt.),39057,2016
157,37,183,71860,Wendell town,6710,2016
157,37,183,76220,Zebulon town (pt.),5174,2016
157,37,183,99990,Balance of Wake County,196525,2016
157,37,183,1520,Apex town,50524,2017
157,37,183,10740,Cary town (pt.),163923,2017
157,37,183,25300,Fuquay-Varina town,27823,2017
157,37,183,25480,Garner town,28761,2017
157,37,183,32260,Holly Springs town,35147,2017
157,37,183,36080,Knightdale town,15807,2017
157,37,183,44520,Morrisville town (pt.),26434,2017
157,37,183,55000,Raleigh city (pt.),464529,2017
157,37,183,57640,Rolesville town,7614,2017
157,37,183,70540,Wake Forest town (pt.),40983,2017
157,37,183,71860,Wendell town,7233,2017
157,37,183,76220,Zebulon town (pt.),5283,2017
157,37,183,99990,Balance of Wake County,197491,2017
157,37,183,1520,Apex town,53859,2018
157,37,183,10740,Cary town (pt.),165825,2018
157,37,183,25300,Fuquay-Varina town,29137,2018
157,37,183,25480,Garner town,30465,2018
157,37,183,32260,Holly Springs town,36693,2018
157,37,183,36080,Knightdale town,17384,2018
157,37,183,44520,Morrisville town (pt.),27434,2018
157,37,183,55000,Raleigh city (pt.),468053,2018
157,37,183,57640,Rolesville town,8072,2018
157,37,183,70540,Wake Forest town (pt.),42777,2018
157,37,183,71860,Wendell town,7798,2018
157,37,183,76220,Zebulon town (pt.),5633,2018
157,37,183,99990,Balance of Wake County,197988,2018
157,37,183,1520,Apex town,59300,2019
157,37,183,10740,Cary town (pt.),168029,2019
157,37,183,25300,Fuquay-Varina town,30324,2019
157,37,183,25480,Garner town,31407,2019
157,37,183,32260,Holly Springs town,37812,2019
157,37,183,36080,Knightdale town,17843,2019
157,37,183,44520,Morrisville town (pt.),28846,2019
157,37,183,55000,Raleigh city (pt.),472791,2019
157,37,183,57640,Rolesville town,8501,2019
157,37,183,70540,Wake Forest town (pt.),44318,2019
157,37,183,71860,Wendell town,8577,2019
157,37,183,76220,Zebulon town (pt.),5917,2019
157,37,183,99990,Balance of Wake County,197940,2019
